1  Как начать разработку под iOS?	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/2/
2	Как начать разработку под WP7?	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/4/
3	Опыт использования Core Data в Яндекс.Почте	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/5/
4	Автосборки iOS-проектов в Яндексе	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/7/
5	Автоматизация локализации iOS-приложений	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/8/
6	Touch it: универсальные тач-события и слайдер	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/165/
9	Поисковая технология «Спектр»	http://events.yandex.ru/events/yac/2011/talks/12/
10	В поисках математики	http://events.yandex.ru/events/yac/2011/talks/16/
11	Зачем обычному программисту знать языки, на которых почти никто не пишет	http://events.yandex.ru/events/yac/2011/talks/18/
12	Юнит-тестирование и Google Mock	http://events.yandex.ru/events/yac/2011/talks/20/
13	Сложнейшие техники, применяемые буткитами и полиморфными вирусами	http://events.yandex.ru/events/yac/2011/talks/25/
14	Сканирование уязвимостей со вкусом Яндекса	http://events.yandex.ru/events/yac/2011/talks/24/
15	Как создавалась архитектура Cloud9 IDE для масштабирования с помощью NodeJS 	http://events.yandex.ru/events/yac/2011/talks/31/
16	Кросс-платформенная разработка под мобильные устройства	http://events.yandex.ru/events/yac/2011/talks/29/
17	Разработка приложений для Android на С++	http://events.yandex.ru/events/yac/2011/talks/30/
18	Мониторинг со всех сторон	http://events.yandex.ru/events/yac/2011/talks/35/
19	Администрирование небольших сервисов, или Один за всех и 100 на одного 	http://events.yandex.ru/events/yac/2011/talks/36/
20	Использование классификаторов для вычисления сходства в изображениях лиц 	http://events.yandex.ru/events/yac/2011/talks/15/
21	Модели в профессиональной инженерии и тестировании программ	http://events.yandex.ru/events/yac/2011/talks/38/
22	Как научить роботов тестировать веб-интерфейсы	http://events.yandex.ru/events/yac/2011/talks/39/
23	За пределами HTML 5… 	http://events.yandex.ru/events/yac/2011/talks/34/
24	C++11 (известный как C++0x) – новый стандарт языка С++ 	http://events.yandex.ru/events/yac/2011/talks/19/
25	Контроль зверей: инструменты для управления и мониторинга распределенных систем от Cloudera	http://events.yandex.ru/events/yac/2011/talks/21/
26	Масштабируемость Hadoop в Facebook	http://events.yandex.ru/events/yac/2011/talks/23/
27	Истории про разработку сайтов	http://events.yandex.ru/events/yac/2011/talks/33/
28	Дом из готовых кирпичей. Библиотека блоков, тюнинг, инструменты 	http://events.yandex.ru/events/yac/2011/talks/41/
29	Тема для WordPress в БЭМ	http://events.yandex.ru/events/yac/2011/talks/40/
30	BEMHTML. NOT yet another шаблонизатор	http://events.yandex.ru/events/yac/2011/talks/43/
31	i-bem.js: JavaScript в БЭМ-терминах 	http://events.yandex.ru/events/yac/2011/talks/44/
35	Базовые оптимизации	http://events.yandex.ru/events/yac/2010/talks/52/
36	Sentiment strength detection for the social web: From YouTube arguments to Twitter praise	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/599/
37	Making interval-based clustering rank-aware	http://events.yandex.ru/events/science-seminars/russir-aug-2011/talks/600/
39	Автоматический сбор данных по примерам	http://events.yandex.ru/events/yac/2010/talks/54/
40	Обзор современных возможностей по распараллеливанию и векторизации приложений с использованием Parallels Composer	http://events.yandex.ru/events/yac/2010/talks/55/
41	Веб-сервер Phantom	http://events.yandex.ru/events/yac/2010/talks/56/
42	Масштабирование хранилищ и вычисления с Hadoop	http://events.yandex.ru/events/yac/2010/talks/58/
43	Танки в Лунапарке: нагрузочное тестирование в Яндексе	http://events.yandex.ru/events/yac/2010/talks/59/
44	Yet Another MapReduce	http://events.yandex.ru/events/yac/2010/talks/60/
45	Автоматизированные техники тестирования интерфейсов на примере интерфейса JavaFX	http://events.yandex.ru/events/yac/2010/talks/61/
47	Распределенные системы хранения данных, особенности реализации DHT в проекте Elliptics network	http://events.yandex.ru/events/yac/2010/talks/63/
48	Построение системы видеокоммуникаций для большого числа пользователей в сети Интернет. Эффективное кодирование и передача real-time трафика. Сигнализация и техники firewall traversal	http://events.yandex.ru/events/yac/2010/talks/66/
49	Система статистики и рейтингов LiveJournal.com	http://events.yandex.ru/events/yac/2010/talks/65/
50	Распределенная система тестирования машинного перевода	http://events.yandex.ru/events/yac/2010/talks/64/
51	От Статистики до Статистики. Эволюция архитектуры системы на примере системы расчета статистики Яндекса	http://events.yandex.ru/events/yac/2010/talks/67/
72	О YaC 2010	http://events.yandex.ru/events/yac/2010/talks/46/
73	А вы знаете длину ресниц своих клиентов?	http://events.yandex.ru/events/odessaconf/2011/talks/612/
74	А что вы здесь делаете?	http://events.yandex.ru/events/odessaconf/2011/talks/613/
75	Видео и интернет	http://events.yandex.ru/events/odessaconf/2011/talks/614/
76	Интернет-маркетинга не существует	http://events.yandex.ru/events/odessaconf/2011/talks/615/
77	Видео в интернете	http://events.yandex.ru/events/odessaconf/2011/talks/616/
78	Видео хостинг YouTube	http://events.yandex.ru/events/odessaconf/2011/talks/617/
79	Роль мобильных устройств и приложений	http://events.yandex.ru/events/odessaconf/2011/talks/618/
81	Мобильные технологии Киевстар	http://events.yandex.ru/events/odessaconf/2011/talks/620/
82	Мобильные технологии NFC	http://events.yandex.ru/events/odessaconf/2011/talks/621/
83	Социально-демографические характеристики интернет пользователей	http://events.yandex.ru/events/odessaconf/2011/talks/622/
84	Социальные медиа	http://events.yandex.ru/events/odessaconf/2011/talks/623/
85	Исследования интернет рекламы	http://events.yandex.ru/events/odessaconf/2011/talks/624/
86	Сегментируйте!	http://events.yandex.ru/events/odessaconf/2011/talks/625/
87	Дискуссия на секции «Видео в интернете vs телевидение»	http://events.yandex.ru/events/odessaconf/2011/talks/626/
88	Дискуссия на секции «Телефон как инструмент маркетинга и не только маркетинга»	http://events.yandex.ru/events/odessaconf/2011/talks/627/
89	Дискуссия на секции «Офлайн уступает место онлайну: геосервисы вместо бумажных карт, соцсети вместо газет»	http://events.yandex.ru/events/odessaconf/2011/talks/628/
90	Дискуссия на секции «Как измерить результаты маркетинга»	http://events.yandex.ru/events/odessaconf/2011/talks/629/
91	Видео реклама в интернет	http://events.yandex.ru/events/odessaconf/2011/talks/630/
92	Мобильный фокус: люди, трубки, сайты	http://events.yandex.ru/events/odessaconf/2012/talks/568/
94	Операционные системы	http://events.yandex.ru/events/kit/1/talks/645/
95	Архитектура ЭВМ	http://events.yandex.ru/events/kit/1/talks/646/
96	Операционная система GNU/Linux: устройство и функционирование	http://events.yandex.ru/events/kit/1/talks/647/
97	Системы хранения данных	http://events.yandex.ru/events/kit/1/talks/648/
98	Файловые системы	http://events.yandex.ru/events/kit/1/talks/649/
99	Сети и протоколы	http://events.yandex.ru/events/kit/1/talks/650/
100	Сети и протоколы. Виртуализация	http://events.yandex.ru/events/kit/1/talks/651/
101	Безопасность информационных систем	http://events.yandex.ru/events/kit/1/talks/652/
102	Чем занимается системный администратор?	http://events.yandex.ru/events/kit/2/talks/589/
103	Операционные системы	http://events.yandex.ru/events/kit/2/talks/590/
104	Архитектура ЭВМ	http://events.yandex.ru/events/kit/2/talks/591/
105	Популярный Linux	http://events.yandex.ru/events/kit/2/talks/592/
106	Системы хранения данных	http://events.yandex.ru/events/kit/2/talks/593/
107	Сети, протоколы и сетевое оборудование	http://events.yandex.ru/events/kit/2/talks/594/
108	Файловые системы	http://events.yandex.ru/events/kit/2/talks/595/
109	Информационная безопасность	http://events.yandex.ru/events/kit/2/talks/596/
110	Виртуализация	http://events.yandex.ru/events/kit/2/talks/597/
111	Основы MySQL	http://events.yandex.ru/events/kit/2/talks/598/
112	Представляем API Яндекс.Карт 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/73/
113	Координаты, слои и тайлы в API 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/74/
114	Архитектура 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/75/
115	Настройка карты: внешний вид и поведение	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/77/
116	Как отобразить много точек на карте. Кластеризатор	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/78/
117	Графика на карте в API 2.0	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/80/
118	API 2.0 для touch-устройств	http://events.yandex.ru/events/yaapi/maps-apr-2012/talks/81/
119	Масштабирование структурных предсказаний	http://events.yandex.ru/events/science-seminars/MIT-jan-2011/talks/586/
120	Извлечение информации из социальных медиа	http://events.yandex.ru/events/science-seminars/MIT-jan-2011/talks/587/
